carrierLocality,effectiveDate,geographicalAdjFactor
0111203,20170101,1.165
0111205,20170101,1.208
0111206,20170101,1.204
0111207,20170101,1.173
0111209,20170101,1.210
0111251,20170101,1.157
0111252,20170101,1.158
0111253,20170101,1.157
0111254,20170101,1.050
0111255,20170101,1.050
0111256,20170101,1.050
0111257,20170101,1.050
0111258,20170101,1.050
0111259,20170101,1.050
0111260,20170101,1.050
0111261,20170101,1.050
0111262,20170101,1.050
0111263,20170101,1.050
0111264,20170101,1.052
0111265,20170101,1.073
0111266,20170101,1.061
0111267,20170101,1.056
0111268,20170101,1.050
0111269,20170101,1.050
0111270,20170101,1.050
0111275,20170101,1.050
0111299,20170101,1.053
0118217,20170101,1.098
0118218,20170101,1.104
0118226,20170101,1.114
0118271,20170101,1.050
0118272,20170101,1.054
0118273,20170101,1.050
0118274,20170101,1.055
0118299,20170101,1.053
0121201,20170101,1.073
0131200,20170101,1.018
0210201,20170101,1.318
0220200,20170101,0.953
0230201,20170101,1.029
0230299,20170101,0.985
0240202,20170101,1.085
0240299,20170101,1.006
0310200,20170101,0.993
0320201,20170101,1.000
0330201,20170101,1.000
0340202,20170101,1.000
0350209,20170101,0.965
0360221,20170101,1.000
0411201,20170101,1.007
0421205,20170101,0.963
0431200,20170101,0.945
0441209,20170101,1.008
0441211,20170101,1.014
0441215,20170101,1.016
0441218,20170101,1.015
0441220,20170101,0.959
0441228,20170101,0.999
0441231,20170101,1.009
0441299,20170101,0.967
0510200,20170101,0.954
0520200,20170101,0.956
0530201,20170101,0.980
0530202,20170101,0.980
0530299,20170101,0.933
0540200,20170101,0.957
0610212,20170101,0.970
0610215,20170101,1.032
0610216,20170101,1.023
0610299,20170101,0.960
0620200,20170101,1.007
0630200,20170101,0.979
0710213,20170101,0.939
0720201,20170101,0.988
0720299,20170101,0.947
0730200,20170101,0.938
0810200,20170101,0.963
0820201,20170101,0.996
0820299,20170101,0.963
0910203,20170101,1.010
0910204,20170101,1.015
0910299,20170101,0.979
0920220,20170101,0.933
0920250,20170101,1.003
0930250,20170101,1.003
1011200,20170101,0.948
1021201,20170101,1.000
1021299,20170101,0.953
1031235,20170101,0.953
1120201,20170101,0.959
1130200,20170101,0.993
1140216,20170101,0.928
1150200,20170101,0.968
1210201,20170101,1.017
1220201,20170101,1.122
1230201,20170101,1.057
1230299,20170101,1.023
1240201,20170101,1.107
1240299,20170101,1.071
1250201,20170101,1.050
1250299,20170101,0.969
1310200,20170101,1.067
1320201,20170101,1.109
1320202,20170101,1.120
1320203,20170101,1.041
1328299,20170101,0.976
1329204,20170101,1.121
1411203,20170101,1.003
1411299,20170101,0.963
1421201,20170101,1.093
1421299,20170101,1.041
1431240,20170101,1.024
1441201,20170101,1.038
1451250,20170101,1.005
1510200,20170101,0.942
1520200,20170101,0.962
